	Código	Denominación	[A]	[B]	[B] VS [A]	
			mar-2025 Proyectado	mar-2025 Histórico	mar-2025 Histórico	
					VS	
					mar-2025 Proyectado	
			Monto	Monto	Monto	%
	1480	DETERIORO INTERESES CRÉDITOS PRODUCTIVOS	-3.911.916.722	-199.350.335	3.712.566.387	-94,90%
	148005	CATEGORÍA A RIESGO NORMAL	0	-23.083.584	-23.083.584	100,00%
	148010	CATEGORÍA B RIESGO ACEPTABLE	0	-4.252.996	-4.252.996	100,00%
	148015	CATEGORÍA C RIESGO APRECIABLE	-324.651.224	-5.312.430	319.338.794	-98,36%
	148020	CATEGORÍA D RIESGO SIGNIFICATIVO	-2.025.905.048	-4.745.393	2.021.159.655	-99,77%
	148025	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-1.561.360.450	-161.955.932	1.399.404.518	-89,63%
	1481	DETERIORO PAGO POR CUENTA DE ASOCIADOS - CRÉDITOS DE CONSUMO (CR)	-20.057.992	-5.377.014	14.680.978	-73,19%
	148115	CATEGORÍA C RIESGO APRECIABLE	-325.412	-7.742	317.670	-97,62%
	148120	CATEGORÍA D RIESGO SIGNIFICATIVO	-488.118	0	488.118	-100,00%
	148125	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-19.244.462	-5.369.272	13.875.190	-72,10%
	16	CUENTAS POR COBRAR Y OTRAS	2.542.840.182	1.006.712.210	-1.536.127.972	-60,41%
	1630	AVANCES Y ANTICIPOS ENTREGADOS	1.845.125.911	41.601.500	-1.803.524.411	-97,75%
	163010	LABORALES	286.606.868	0	-286.606.868	-100,00%
	163020	GASTOS DE VIAJE	6.236.425	0	-6.236.425	-100,00%
	163095	OTROS	1.552.282.618	41.601.500	-1.510.681.118	-97,32%
	1640	ACTIVOS POR IMPUESTOS CORRIENTES	88.038.770	133.342.088	45.303.318	51,46%
	164010	RETENCIÓN EN LA FUENTE	71.654.620	115.807.319	44.152.699	61,62%
	164015	IMPUESTO A LAS VENTAS RETENIDO	3.216.806	2.082.825	-1.133.981	-35,25%
	164020	IMPUESTO DE INDUSTRIA Y COMERCIO RETENIDO	13.167.344	15.451.944	2.284.600	17,35%
	1650	DEUDORES PATRONALES Y EMPRESAS	-120.503.324	0	120.503.324	-100,00%
	165005	DESCUENTO DE NOMINA	-120.503.324	0	120.503.324	-100,00%
	1655	RESPONSABILIDADES PENDIENTES	42.095.789	253.517	-41.842.272	-99,40%
	165510	EMPLEADOS	42.095.789	253.517	-41.842.272	-99,40%
	1660	OTRAS CUENTAS POR COBRAR	688.083.036	831.515.105	143.432.069	20,85%
	166035	CUENTAS POR COBRAR DE TERCEROS	571.044.613	531.663.875	-39.380.738	-6,90%
	166050	OTROS	144.488.993	322.827.977	178.338.984	123,43%
	166099	DETERIORO OTRAS CUENTAS POR COBRAR (CR)	-27.450.570	-22.976.747	4.473.823	-16,30%
	17	ACTIVOS MATERIALES	9.788.625.284	9.253.403.174	-535.222.110	-5,47%
	1705	PROPIEDADES PLANTA Y EQUIPO	9.721.634.278	9.186.828.174	-534.806.104	-5,50%
	170502	TERRENOS	1.329.349.093	1.222.948.000	-106.401.093	-8,00%
	170504	EDIFICACIONES	8.064.131.884	9.340.598.739	1.276.466.855	15,83%
	170505	MUEBLES Y EQUIPO DE OFICINA	1.756.696.101	1.742.209.956	-14.486.145	-0,82%
	170520	EQUIPO DE CÓMPUTO Y COMUNICACIÓN	4.402.295.967	2.783.770.209	-1.618.525.758	-36,77%
	170545	MAQUINARIA Y EQUIPO	1.022.352.392	1.018.833.711	-3.518.681	-0,34%
	170560	BIENES DE FONDOS SOCIALES	7.546.865	7.500.000	-46.865	-0,62%
	170591	BIENES RECIBIDOS EN PAGO	27.168.714	27.000.000	-168.714	-0,62%
	170595	DEPRECIACIÓN AGOTAMIENTO PROPIEDAD PLANTA Y EQUIPO (CR)	-6.860.738.025	-6.929.032.441	-68.294.416	1,00%
	170599	DETERIORO PROPIEDAD PLANTA Y EQUIPO (CR)	-27.168.714	-27.000.000	168.714	-0,62%
	1715	PROPIEDADES DE INVERSIÓN MEDIDAS A VALOR RAZONABLE	66.991.006	66.575.000	-416.006	-0,62%
	171505	TERRENOS	46.287.439	46.000.000	-287.439	-0,62%
	171510	EDIFICACIONES	20.703.567	20.575.000	-128.567	-0,62%
	19	OTROS ACTIVOS	547.826.745	541.355.332	-6.471.413	-1,18%
	1904	SUCURSALES Y AGENCIAS	0	 	 	100,00%
	190405	TRASLADO DE FONDOS	0	 	 	100,00%
	190510	SEGUROS	0	99.072.886	99.072.886	100,00%
	190515	ARRENDAMIENTOS	0	1.043.739.561	1.043.739.561	100,00%
	190595	AMORTIZACIÓN ACUMULADA (CR)	0	-1.142.812.447	-1.142.812.447	100,00%
	1910	ACTIVOS INTANGIBLES ADQUIRIDOS	547.826.745	541.355.332	-6.471.413	-1,18%
	191025	LICENCIAS	2.437.556.236	2.688.012.475	250.456.239	10,27%
