AÑO	MES	CANTIDAD_TRABAJADORES_QUE_PARTICIPARON	OFICINA_DEPENDENCIA	ROLES	TEMA_DE_FORMACION	TIPO_DE_FORMACION	TOTAL_DE_PARTICIPANTES	TOTAL_DE_TRABAJADORES	PORCENTAJE_DE_PARTICIPACION	NUM_VECES_FORMADO_CADA_TRABAJADOR	CALIFICACION
2025	Agosto	208	Todo Coofisam	Todos los roles	Higiene postural, Comité de archivo, detención de billetes falsos, Campaña fidelización, Sarc y sus anexos, Campaña de ahorros mi ahorro, ramo seguros Equidad, ramo seguros Solidaria, Formación innovación, formación en pausas activas, Capacitación Comité de convivencia laboral, Marcación de la jurisdicción en consulta web y PDA WhatsApp de Infolaft, Planeacion Estrategica Titanes	Capacitación Interna	208	208	100%	19	4.5
2025	Agosto	1	Dirección General	Subgerentes	Transformación digital	Capacitación Externa	1	208	0%	1	0.0
2025	Agosto	1	Dirección General	Subgerentes	Transformación digital	Capacitación Externa	1	208	0%	1	0.0
2025	Agosto	1	Dirección General	Subgerentes	Transformación digital	Capacitación Externa	1	208	0%	1	0.0
2025	Agosto	1	Dirección General	Gerente	Transformación digital, Pasantia mexico caja popular, Consejo Visionamos, Congreso Confecoop	Capacitación Externa	1	208	0%	3	0.0
2025	Agosto	1	Dirección General	Subgerentes	Transformación digital	Capacitación Externa	1	208	0%	1	0.0
2025	Agosto	1	Dirección General	Directores de área	Transformación digital	Capacitación Externa	1	208	0%	1	0.0
2025	Agosto	1	Dirección General	Coordinadores	Transformación digital	Capacitación Externa	1	208	0%	1	0.0
2025	Agosto	1	Acevedo	Director Oficina	Congreso Confecoop	Capacitación Externa	1	208	0%	1	0.0
2025	Agosto	1	Dirección General	Directores de área	Transformación digital	Capacitación Externa	1	208	0%	1	0.0
2025	Agosto	1	Dirección General	Directores de área	Transformación digital	Capacitación Externa	1	208	0%	1	0.0
2025	Agosto	1	Dirección General	Directores de área	Transformación digital	Capacitación Externa	1	208	0%	1	0.0
2025	Agosto	2		Consejo Admón y/o Juanta Vigilancia	Consejo Admón, Junta de vigilancia Transformación digital	Capacitación Externa	2	208	1%	1	0.0
2025	Agosto	11		Consejo Admón y/o Juanta Vigilancia	Consejo Admón, Junta de vigilancia Transformación digital	Capacitación Externa	11	208	5%	1	0.0
2025	Agosto	1		Consejo Admón y/o Juanta Vigilancia	Consejo Admón, Junta de vigilancia Congreso Confecoop	Capacitación Externa	1	208	0%	1	0.0
